,bzip2_clang_894834e8.json,bzip2_gcc_b1c2c8b8.json,bzip2_go_19140ab0.json,bzip2_rs_pd_734ca4e0.json,bzip2_rs_pr_3a7d90f9.json,bzip2_rs_sd_f193b935.json,bzip2_rs_sr_ed89f055.json,bzip2_tgo_fc5fc375.json,factorize_clang_de43ffce.json,factorize_gcc_19f3120b.json,factorize_go_ac545792.json,factorize_rs_7986d4cd.json,factorize_tinygo_a9b6c618.json,md5clang_bcb96e94.json,md5gcc_6477443e.json,md5go_f07553a4.json,md5rs_6c0401ce.json,md5tinygo_a558e7ab.json,sha256clang_b2fb55f9.json,sha256gcc_9de4683a.json,sha256go_784cc26b.json,sha256rs_0cd988fe.json,sha256swift_8003ed72.json,sha256tinygo_3679dcf8.json
bzip2_clang_894834e8.json,1.00,1.00,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.04,0.15,0.05
bzip2_gcc_b1c2c8b8.json,,1.00,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.04,0.15,0.05
bzip2_go_19140ab0.json,,,1.00,0.22,0.22,0.22,0.22,0.06,0.00,0.00,0.81,0.11,0.08,0.00,0.00,0.80,0.10,0.08,0.00,0.00,0.80,0.10,0.01,0.08
bzip2_rs_pd_734ca4e0.json,,,,1.00,0.97,0.97,0.96,0.06,0.00,0.00,0.16,0.20,0.08,0.00,0.00,0.16,0.18,0.08,0.00,0.00,0.16,0.19,0.00,0.08
bzip2_rs_pr_3a7d90f9.json,,,,,1.00,0.95,0.97,0.06,0.00,0.00,0.15,0.20,0.08,0.00,0.00,0.15,0.18,0.08,0.00,0.00,0.15,0.19,0.00,0.08
bzip2_rs_sd_f193b935.json,,,,,,1.00,0.97,0.06,0.00,0.00,0.15,0.20,0.08,0.00,0.00,0.15,0.19,0.08,0.00,0.00,0.15,0.19,0.00,0.08
bzip2_rs_sr_ed89f055.json,,,,,,,1.00,0.06,0.00,0.00,0.15,0.20,0.08,0.00,0.00,0.15,0.19,0.08,0.00,0.00,0.15,0.19,0.00,0.08
bzip2_tgo_fc5fc375.json,,,,,,,,1.00,0.00,0.00,0.09,0.28,0.46,0.00,0.00,0.09,0.30,0.47,0.00,0.00,0.09,0.30,0.03,0.47
factorize_clang_de43ffce.json,,,,,,,,,1.00,1.00,0.00,0.00,0.00,-0.82,-0.82,0.00,0.00,0.00,-1.12,-1.12,0.00,0.00,0.02,0.00
factorize_gcc_19f3120b.json,,,,,,,,,,1.00,0.00,0.00,0.00,-0.82,-0.82,0.00,0.00,0.00,-1.12,-1.12,0.00,0.00,0.02,0.00
factorize_go_ac545792.json,,,,,,,,,,,1.00,0.13,0.10,0.00,0.00,0.99,0.12,0.09,0.00,0.00,0.99,0.12,0.01,0.09
factorize_rs_7986d4cd.json,,,,,,,,,,,,1.00,0.33,0.00,0.00,0.11,0.89,0.32,0.00,0.00,0.11,0.91,0.02,0.33
factorize_tinygo_a9b6c618.json,,,,,,,,,,,,,1.00,0.00,0.00,-0.09,-0.40,0.95,0.00,0.00,-0.09,-0.35,0.03,0.97
md5clang_bcb96e94.json,,,,,,,,,,,,,,1.00,1.00,0.00,0.00,0.00,0.52,0.52,0.00,0.00,0.03,0.00
md5gcc_6477443e.json,,,,,,,,,,,,,,,1.00,0.00,0.00,0.00,0.52,0.52,0.00,0.00,0.03,0.00
md5go_f07553a4.json,,,,,,,,,,,,,,,,1.00,0.12,0.09,0.00,0.00,1.00,0.12,0.01,0.10
md5rs_6c0401ce.json,,,,,,,,,,,,,,,,,1.00,0.32,0.00,0.00,0.11,0.97,0.02,0.33
md5tinygo_a558e7ab.json,,,,,,,,,,,,,,,,,,1.00,0.00,0.00,-0.08,-0.25,0.03,0.98
sha256clang_b2fb55f9.json,,,,,,,,,,,,,,,,,,,1.00,1.00,0.00,0.00,0.02,0.00
sha256gcc_9de4683a.json,,,,,,,,,,,,,,,,,,,,1.00,0.00,0.00,0.02,0.00
sha256go_784cc26b.json,,,,,,,,,,,,,,,,,,,,,1.00,0.12,0.01,0.10
sha256rs_0cd988fe.json,,,,,,,,,,,,,,,,,,,,,,1.00,0.02,0.33
sha256swift_8003ed72.json,,,,,,,,,,,,,,,,,,,,,,,1.00,0.03
sha256tinygo_3679dcf8.json,,,,,,,,,,,,,,,,,,,,,,,,1.00

total duration,"1733m 25.58s (104,005,584,332,239 nsec)"
